2026-08-22 16:26:22,437 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-BENCH-0012 on port 10000
2026-08-22 16:27:36,105 | INFO     | eva.user_simulator.audio_bridge:663 | 🔊 Assistant audio END (connection closed)
2026-08-22 16:27:36,105 | INFO     | eva.user_simulator.elevenlabs:222 | Conversation ended: assistant_completed
2026-08-22 16:27:36,106 | INFO     | eva.user_simulator.elevenlabs:463 | Keep-alive task cancelled
2026-08-22 16:27:36,106 | INFO     | eva.user_simulator.elevenlabs:242 | Ending ElevenLabs session...
2026-08-22 16:27:36,106 | INFO     | eva.user_simulator.audio_bridge:184 | User simulator audio bridge stop() called
2026-08-22 16:27:36,106 | INFO     | eva.user_simulator.audio_bridge:191 | Signaling conversation end: session_ended
2026-08-22 16:27:51,350 | INFO     | eva.user_simulator.elevenlabs:383 | Conversation transcript available but no end_call tool found
2026-08-22 16:27:52,143 | INFO     | eva.user_simulator.elevenlabs:406 | Saved ElevenLabs server-side audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012/elevenlabs_audio_recording.mp3
2026-08-22 16:27:52,145 | INFO     | eva.user_simulator.base:182 | Saved clean user audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012/audio_user_clean.wav
2026-08-22 16:27:52,145 | INFO     | eva.user_simulator.elevenlabs:296 | Waiting 4s for assistant STT to finish last utterance...
2026-08-22 16:27:56,146 | INFO     | eva.user_simulator.audio_bridge:244 | Audio interface stopped
2026-08-22 16:27:56,148 | INFO     | eva.user_simulator.event_logger:182 | Saved 36 user simulator events to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012/user_simulator_events.jsonl
2026-08-22 16:27:56,148 | INFO     | eva.orchestrator.worker:173 | Conversation EMI-BENCH-0012 ended: assistant_completed
2026-08-22 16:28:23,278 | INFO     | eva.assistant.agentic.audit_log:411 | Audit log saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012/audit_log.json
2026-08-22 16:28:23,280 | INFO     | eva.assistant.base_server:319 | Saved scenario database states to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012
2026-08-22 16:28:23,280 | INFO     | eva.assistant.base_server:241 | Outputs saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_162616/records/EMI-BENCH-0012
2026-08-22 16:28:23,280 | INFO     | eva.orchestrator.worker:234 | Computed scenario DB hashes - Initial: 172aa7cb..., Final: 4c2cfa4c...
