2026-08-22 17:05:42,634 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-BENCH-0001 on port 10000
2026-08-22 17:06:53,382 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.07s
2026-08-22 17:06:53,383 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:06:55,523 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 17:06:55,523 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:07:03,250 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:07:09,094 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 17:07:09,094 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:07:13,251 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:07:14,008 | INFO     | eva.user_simulator.audio_bridge:184 | User simulator audio bridge stop() called
2026-08-22 17:07:14,009 | INFO     | eva.user_simulator.audio_bridge:191 | Signaling conversation end: session_ended
2026-08-22 17:07:14,009 | INFO     | eva.user_simulator.elevenlabs:222 | Conversation ended: session_ended
2026-08-22 17:07:14,010 | INFO     | eva.user_simulator.elevenlabs:463 | Keep-alive task cancelled
2026-08-22 17:07:14,010 | INFO     | eva.user_simulator.elevenlabs:242 | Ending ElevenLabs session...
2026-08-22 17:07:14,010 | INFO     | eva.user_simulator.audio_bridge:184 | User simulator audio bridge stop() called
2026-08-22 17:07:14,010 | INFO     | eva.user_simulator.audio_bridge:191 | Signaling conversation end: session_ended
2026-08-22 17:07:14,058 | INFO     | eva.user_simulator.audio_bridge:663 | 🔊 Assistant audio END (connection closed)
2026-08-22 17:07:29,265 | INFO     | eva.user_simulator.elevenlabs:383 | Conversation transcript available but no end_call tool found
2026-08-22 17:07:31,058 | INFO     | eva.user_simulator.elevenlabs:406 | Saved ElevenLabs server-side audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001/elevenlabs_audio_recording.mp3
2026-08-22 17:07:31,059 | INFO     | eva.user_simulator.base:182 | Saved clean user audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001/audio_user_clean.wav
2026-08-22 17:07:31,059 | INFO     | eva.user_simulator.elevenlabs:296 | Waiting 4s for assistant STT to finish last utterance...
2026-08-22 17:07:32,697 | INFO     | eva.user_simulator.event_logger:182 | Saved 31 user simulator events to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001/user_simulator_events.jsonl
2026-08-22 17:07:32,699 | WARNING  | eva.orchestrator.worker:176 | Conversation EMI-BENCH-0001 exceeded time limit
2026-08-22 17:07:32,881 | WARNING  | eva.assistant.base_server:270 | Audio buffer length mismatch: user=2675636 assistant=2755038 diff=2481ms — mixed recording may be temporally skewed
2026-08-22 17:08:00,120 | INFO     | eva.assistant.agentic.audit_log:411 | Audit log saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001/audit_log.json
2026-08-22 17:08:00,122 | INFO     | eva.assistant.base_server:319 | Saved scenario database states to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001
2026-08-22 17:08:00,122 | INFO     | eva.assistant.base_server:241 | Outputs saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_170536/records/EMI-BENCH-0001
2026-08-22 17:08:00,122 | INFO     | eva.orchestrator.worker:234 | Computed scenario DB hashes - Initial: e665ee57..., Final: 52fa5228...
